7dd  = CWF de WiiLink
841  = \z{602,0} y \z{802,120000}\nse conectarán juntos\na la CWF de WiiLink.
816  = No puedes acceder a este modo del juego\nporque no hay datos guardados.\n\nPuedes organizar los datos de la memoria\nde la consola Wii en la pantalla de Gestión\nde datos de las Opciones de Wii.
fa8  = Tu lista de amigos está vacía.\nAñade a tus amigos para poder\njugar juntos en la CWF de\nWiiLink.
fb0  = No puedes acceder a la\nConexión Wi-Fi de WiiLink\ncon este nombre de Mii.\nCámbialo y vuelve a\nintentarlo.
1397  = Para mejorar tu técnica, reta a los \nfantasmas de jugadores de todo el mundo \ny disputa una serie de carreras a través \nde la CWF de WiiLink.\040
1399  = Para mejorar tu técnica, reta a los \nfantasmas de jugadores de todo el mundo \ny disputa una serie de carreras a través \nde la CWF de WiiLink. \n\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Todavía no tienes una clave\nde amigo.\n\nTu clave de amigo es un número\nde 12 cifras que te permite conectar\na la CWF de WiiLink.\n\nConsulta el folleto de instrucciones\nde Mario Kart Wii para obtener más\ninformación.
1d4d  = Los Miis de otros jugadores pueden\naparecer durante las carreras o las\nbatallas, en las clasificaciones o en\notros lugares de la CWF de WiiLink.\n\nPuedes elegir si quieres mostrar estos\nMiis o si prefieres sustituirlos por\naquellos Miis creados por Nintendo.
1fb0  = ¡Has ganado 1,000 veces en la CWF de WiiLink!
1fbf  = ¡Has ganado 5,000 veces en la CWF de WiiLink!
1fc1  = ¡Has ganado 250 veces en la CWF de WiiLink!
1fce  = ¡Has ganado 50 veces en la CWF de WiiLink!
1fe3  = ¡Has ganado 3,000 veces en la CWF de WiiLink!
200b  = Resultados CWF de WiiLink
201c  = CWF de WiiLink - Amigos
26af  = No puedes cambiar los mandos mientras\nestás jugando en la CWF de WiiLink.\nVuelve a colocar el anterior.
212c  = ¡Has recibido una invitación de un\njugador de Mario Kart Wii para\nhacerse amigos!\n\n◆Nombre\n%ls\n\n◆Clave de amigo\n%04d-%04d-%04d\n\nSi registran sus claves de amigos\nmutuamente, podrán jugar juntos.\n\nLos jugadores que tienen Mario\nKart Wii y han instalado el Canal\nMario Kart pueden registrarse\nmutuamente de manera inmediata.\n\nLos demás jugadores pueden\nenviarse una respuesta el uno al\notro.


2800  = Contrarreloj (150cc)
2801  = Contrarreloj (200cc)
2803  = Guardado de fantasmas desactivado. 
2804  = Guardado de fantasmas desactivado. Códigos de Dolphin activados.
2810  = Orden de pistas: Normal
2811  = Orden de pistas: Alfabético
2A00  = Ajustes
2A01  = Carrera  
2A02  = Menú  
2A07  = Anfitrión (2/2)
2A04  = Anfitrión (1/2)
2A05  = VS. (1/2)
2A06  = VS. (2/2)
2A08  = Accesibilidad 
2A20  = ¡Cambia tus ajustes!
2A21  = ¡Cambia tus ajustes de carrera!
2A22  = ¡Cambia tus ajustes de menú!
2A27  = ¡Cambia tus ajustes de salas de amigos!
2A24  = ¡Cambia tus ajustes de salas de amigos!
2A26  = ¡Cambia tus ajustes de VS.!
2A25  = ¡Cambia tus ajustes de VS.!
2A28  = ¡Cambia tus ajustes de accesibilidad!
37000  = Activado
37001  = Desactivado
30000  = Música de última vuelta
30001  = Acelerar
30002  = Sin corte
30003  = Por defecto
40001  = La música se acelerará por 4 segundos al entrar en la última vuelta.
40002  = La música continuará al entrar en la última vuelta.
40003  = La música cambiará a su variante rápida de manera normal.
30010  = Caparazón azul arrastrable
40011  = Permite equipar caparazones azules por detrás como el resto de caparazones.
40012  = No podrás equipar caparazones azules por detrás como el resto de caparazones.
30020  = Cabezas de Mii
40021  = Los Miis de los jugadores se mostrarán en el minimapa.
40022  = Los personajes de los jugadores se mostrarán en el minimapa.
30030  = Velocímetro
30031  = Desactivado
30032  = Sin decimales
30033  = 1 decimal
30034  = 2 decimales
40031  = El velocímetro estará desactivado.
40032  = El velocímetro no mostrará decimales.
40033  = El velocímetro mostrará 1 decimal.
40034  = El velocímetro mostrará 2 decimales.
30040  = Modo FPS
30041  = Normal
30042  = Forzar 30 FPS
30043  = Forzar 60 FPS
40041  = Usar el modo FPS por defecto.
40042  = Usar cuando el juego se ralentice demasiado.
40043  = Usar en sistemas mejores (solo Dolphin).
30050  = Guardado de fantasmas
40051  = El guardado de fantasmas estará activado.
40052  = El guardado de fantasmas estará desactivado.
30110  = Menús rápidos
40111  = Las transiciones entre menús serán instantáneas.
40112  = Las transiciones entre menús serán normales.
30100  = Idioma
30120  = Orden de pistas
30121  = Normal
30122  = Alfabético
30300  = OpenHost
40301  = Los jugadores que te agreguen podrán unirse a tus salas.
40302  = Solo los jugadores que hayas agregado podrán unirse a tus salas.
30310  = El anfitrión siempre elige
40311  = Solo importará el voto del anfitrión.
40312  = La pista se elegirá de manera normal.
30320  = Permitir cabezas de Mii
40321  = Los jugadores pueden usar sus propios ajustes de cabezas de Mii.
40322  = Las cabezas de Mii estarán siempre desactivadas.
30330  = Forzar CC
30331  = Ninguno
30332  = 150cc
30333  = 200cc
30334  = Espejo (150cc)
30340  = Número de carreras
30510  = Selección de variante
40511  = Los jugadores podrán votar una versión específica de una pista.
40512  = Los jugadores no podrán votar una versión específica de una pista.
30520  = Mega Nube
40521  = La Nube de rayos vuelve gigantes a los jugadores.
40522  = La Nube de rayos encoge a los jugadores de manera normal.
30530  = Todos los objetos pueden recogerse
40531  = Cualquier objeto puede caer en el suelo.
40532  = Solo algunos objetos pueden caer en el suelo.
30630  = Forzar aleatorio
30631  = Desactivado
30632  = Individual
30633  = Común
40631  = Los jugadores podrán elegir vehículo de manera normal.
40632  = El vehículo de cada jugador será elegido de manera aleatoria antes de las carreras.
40633  = Un vehículo aleatorio será elegido para todos los jugadores antes de las carreras.
30700  = Control simplificado
30701  = Desactivado
30702  = Solo arriba
30703  = Direccional
40701  = El control simplificado estará desactivado.
40702  = Al oprimir Y/ZL se activará el efecto de pirueta arriba.
40703  = Al oprimir Y/ZL se activará el efecto de pirueta dependiendo de la dirección del joystick.
30710  = Efectos de campo de visión
30720  = Movimiento de cámara
30730  = Resplandor
30711  = Activado
30712  = Reducido
30713  = Desactivado
2820  = Carrera individual para conseguir el mejor récord. (200cc)
beb  = Carrera individual para conseguir el mejor récord. (150cc)
2830  = Cambiar combinación
2831  = ¿Elegir o aleatorio?
2840  = Algunos cambios requieren un reinicio.
284C  = ¿Seguro que quieres salir?\n\nSi abandonas una carrera en proceso,\nrecibirás una penalización de PC.
2841  = ¡Códigos de Dolphin activados!\nEl juego podría no funcionar correctamente.
2842  = ¡Memoria extendida de Dolphin activada!\nEl juego podría no funcionar correctamente.
30500  = Selección de pistas
30501  = Todas
30502  = Retros
30503  = Custom Tracks
2806  = Aurora requiere la versión 5.0-17856\no superior de Dolphin. Por favor,\ndescárgala desde la página oficial.\n\nRegresando al Menú de Wii...
2843  = Parece que estás usando la configuración\npredeterminada de Dolphin.\nPor favor, importa la NAND de tu Wii para\nacceder a todas las funciones de Aurora.
2844  = Parece que estás usando un dump\nde NAND público. Por favor, importa la\nNAND de tu Wii para acceder a todas\nlas funciones de Aurora.
2845  = Verificando con el servidor...
2846  = Se ha producido un error al\nconectarse con el servidor.\n\nCódigo de error: \z{802,200000}\z{a02,1000000000}
2847  = Se ha producido un error al\nconectarse con el servidor.\n\nCódigo de error: \z{802,200000}\z{a02,1000000000}\nRegresando al Menú de Wii...
2848  = ¡Nueva actualización disponible! \z{802,200000}\n¡Descarga la nueva versión en la Wiiki!
2805  = ¿Te gustaría subir el fantasma\na las clasificaciones?
2849  = ¡Se ha subido el fantasma correctamente!
284A  = Se ha producido un error al\nsubir el fantasma.\n\nCódigo de error: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nJugadores activos
2802  = Tiempo inválido. Valor delta muy grande.
30130  = Tema del menú
30131  = Aurora
30132  = Arcoíris
30133  = Blanco
1E40  = \z{800, 90}ADVERTENCIA: FOTOSENSIBILIDAD\n\n\z{800, 50}Algunas personas pueden sufrir\nconvulsiones o desmayos provocados por luces\no patrones intermitentes. Esto podría ocurrir\nincluso si nunca antes se ha tenido este\ntipo de reacciones.\n\nDetén el uso y consulta inmediatamente con\nun médico si se experimenta cualquier síntoma.
2807  = Grand Prix
2808  = En línea
2809  = ¡Próximamente!
848  = Progreso
2081A  = Progreso de licencia
2081B  = ¡Ve el progreso de clase de tu licencia!
20820  = Puntos
20822  = Copas
20823  = Clasif. Prom.
20824  = PC
20826  = Carreras
20827  = Puntaje
