7dd  = WiiLink WFC
30010  = Posouvatelné Modré Krunýře
40011  = Můžeš držet Modré Krunýře za sebou jako ostatní krunýře.
40012  = Nebudeš schopni držet Modré Krunýře za sebou jako ostatní krunýře.
30020  = Mii Hlavy
40021  = Mii hráče se zobrazí na minimapě.
40022  = Postava hráče se zobrazí na minimapě.
30030  = Rychloměr
30031  = Vypnutý
30032  = Žádná desetinná místa
30033  = 1 desetinné číslo
30034  = 2 desetinná čísla
40031  = Rychloměr bude vypnutý
40032  = Rychloměr nezobrazí žádná desetinná místa.
40033  = Rychloměr zobrazí 1 desetinné místo.
40034  = Rychloměr zobrazí 2 desetinná místa.
30040  = Snímková Frekvence
30041  = Normální
30042  = Přinutit 30FPS
30043  = Přinutit 60FPS
40041  = Použít výchozí Snímková Frekvence
40042  = Použít, když je hra moc zpoždění.
40043  = Použít pro lepší systémy (Pouze Dolphin).
30050  = Zachraňování Duchů
40051  = Zachraňování Duchů bude aktivovány.
40052  = Zachraňování Duchů bude zablokovany.
30110  = Rychlé Menu
40111  = Přechody v menu budou okamžité.
40112  = Přechody v menu budou normální.
30100  = Jazyk
30120  = Pořadí Tratí
30121  = Normální
30122  = Abecední
30300  = OpenHost
40301  = Hráči, kteří tě přidali, se můžou připojit k místnostem.
40302  = Připojit se můžou pouze hráči, se kterými se přátelíš.
30310  = Hostitel Vždy Vyhraje
40311  = Záleží pouze hlasování hostitele.
40312  = Trať bude vybrána jako normálně.
30320  = Povolit Mii Hlavy
40321  = Hráči můžou používat nastavení Mii Hlavy.
40322  = Mii Hlavy budou nepovoleny.
30330  = Přinutit CC
30331  = Normální
30332  = 150cc
30333  = 200cc
30334  = Zrcadlově (150cc)
30340  = Počet Závodů
30510  = Výběr Varianty
40511  = Hráči budou moci hlasovat pro konkrétní verzi trati.
40512  = Hráči nebudou moci hlasovat pro konkrétní verzi trati.
30520  = Mega Mrak
40521  = Bouřkový Mrak udělá hráče velkými.
40522  = Bouřkový Mrak zmenší hráče jako normálně.
30530  = Všechny Objekty Můžou Přistát
40531  = Každý druh objektu může přistát na zemi.
40532  = Na zemi mohou přistát jen některé objekty.
30630  = Přinutit Náhodně
30631  = Zablokovany
30632  = Vlastní
30633  = Společný
40631  = Hráči si budou moci vybrat své vozidlo jako normálně.
40632  = Každý hráč si před závodem hodí své vlastní náhodná kombinace.
40633  = Všichni hráči dostanou před závodem stejné náhodná kombinace.
30700  = Zjednodušená Řízení
30701  = Nepovolené
30702  = Pouze Nahoru
30703  = Směrové
40701  = Zjednodušená řízení budou nepovolené.
40702  = Zmáčknutí Y/ZL zajistí efekt triku směrem nahoru.
40703  = Zmáčknutí Y/ZL zajistí trikový efekt v závislosti na směru joysticku.
30710  = Efekty Zorného Pole.
30720  = Otřes Kameru
30730  = Bloom
30711  = Povolený
30712  = Snížený
30713  = Nepovolený
2820  = Závod pro jednoho na nejrychlejší čas! (200cc)
beb  = Závod pro jednoho na nejrychlejší čas! (150cc)
2830  = Změnit Kombinace
2831  = Vybrat nebo Náhodně?
2840  = Některé změny vyžadují restart
284C  = Určitě chceš skončit?\n\nOpuštění probíhajícího závodu bude mít za následek penalizaci VR.
2841  = Delfíní cheaty jsou povoleny!\nHra nemusí fungovat podle očekávání.
2842  = Delfín rozšířená paměť povolena!\nHra nemusí fungovat podle očekávání.
30500  = Výběr Trati
30501  = Všechny
30502  = Retro
30503  = CT
2806  = Aurora vyžaduje Dolphin 5.0-17856 nebo novější.\nStáhni si jej prosím z oficiálních stránek.\n\nNavrácení do Wii Menu...
2843  = Zdá se, že používáš výchozí konfiguraci Dolphin.\nProsím importuj NAND tvého Wii pro přístup\nk všechny funkce Aurora.
2844  = Zdá se, že používáš veřejný NAND Dump.\nProsím importuj NAND tvého Wii pro přístup\nk všechny funkce Aurora.
2845  = Potvrzování se serverem...
2846  = Při připojování k serveru došlo k chybě.\n\nKód chyby: \z{802,200000}\z{a02,1000000000}
2847  = Při připojování k serveru došlo k chybě.\n\nKód chyby: \z{802,200000}\z{a02,1000000000}\nNavrácení do Wii Menu...
2848  = Nová aktualizace je k dispozici! \z{802,200000}\nStáhni si novou verzi z Wiiki!
2805  = Chtěl bys nahrát\nducha do tabulků?
2849  = Data duchů byla úspěšně nahrána!
284A  = Při nahrávání ducha došlo k chybě.\n\nKód chyby: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nAktivní hráči
2802  = Čas zneplatněn. Delta moc velká.
30130  = Téma Menu
30131  = Aurora
30132  = Duhové
30133  = Bílé
1E40  = {{null}}
2807  = Grand Prix
2808  = Online
2809  = Již brzy!
848  = Postup
2081A  = Průběh Licence
2081B  = Podívejte se, jak postupujete ve třídě licence!
20820  = Body
20822  = Poháry
20823  = Pr.Pořadí
20824  = VR
20826  = Závody
20827  = Skóre
