7dd  = WiiLink WFC
1E40  = \z{800, 90}Avertissement Photosensibilité\n\n\z{800, 50}Un faible pourcentage de personnes peut avoir une crise d'épilepsie lorsqu'elles s'exposent à certaines images visuelles, notamment des voyants ou des motifs clignotants. Les personnes qui n'ont jamais eu de crise d'épilepsie peuvent également y être sujets.\n\nCessez de jouer immédiatement et consultez un médecin si vous souffrez de l'un de ces symptômes.
2807  = Grand Prix
2808  = En Ligne
2809  = Bientôt !
848  = Progression
2081A  = Progression de Permis
2081B  = Voyez la progression de la classe de votre licence !
20820  = Points
20822  = Coupes
20823  = Rang Moy.
20824  = Pts Course
20826  = Courses
20827  = Score
