7dd  = WiiLink WFC
fa8  = Es sind keine Freunde in deiner\nFreundesliste registriert.\n\nRegistriere Freunde, um mit ihnen\nzusammen via WiiLink WFC zu spielen.
fb0  = Du kannst diesen Mii-Namen \nauf WiiLink WFC nicht verwenden. \nBitte ändere deinen Mii-Namen\nund versuche es erneut. 
1397  = Verfeinere deine Technik und tritt\nvia WiiLink WFC in einer Reihe von\nGeistrennen gegen Spieler aus\nder ganzen Welt an! Gewinne so\nviele Rennen wie möglich!
1399  = Verfeinere deine Technik und tritt\nvia WiiLink WFC in einer Reihe von\nGeistrennen gegen Spieler aus\nder ganzen Welt an! Gewinne so\nviele Rennen wie möglich!\n\n\z{c04,13a213a3}: \z{a02,1000000000}\n\z{c04,113a413a5}: \z{a02,1000010000}
1a3c  = Du hast keinen Freundescode.\n\nDer Freundescode besteht aus\n12 Ziffern und wird dir automatisch\nzugeteilt, wenn du zum ersten Mal eine\nVerbindung mit WiiLink WFC herstellst.\n\nLies bitte die Wii-Bedienungsanleitung,\num weitere Informationen zu erhalten.
1d4d  = Miis von Spielern aus der ganzen\nWelt werden unter anderem bei Rennen,\nWettkämpfen, in Ranglistendaten\nwährend der Verbindung via \nWiiLink WFC dargestellt.\n\nDu kannst entscheiden, ob diese\nMiis in Mario Kart Wii dargestellt\nwerden oder ob sie von Nintendo-\nMiis ersetzt werden sollen.
1fb0  = 1.000 Siege in Online-Rennen!
1fbf  = 5.000 Siege in Online-Rennen!
1fc1  = 250 Siege in Online-Rennen!
1fce  = 50 Siege in Online-Rennen!
1fe3  = 3.000 Siege in Online-Rennen!
200b  = WiiLink WFC-Rekorde
201c  = WiiLink WFC-Freunde-Rekorde
26af  = Während eines Matchs via WiiLink WFC\nkann der Controller nicht gewechselt werden\nBitte vorherigen Controller verwenden.
212c  = %ls schlägt vor,\ndass ihr eure Freundescodes\nregistriert!\n\nMario Kart Wii\nFreundescode: %04d-%04d-%04d\n\nWenn ihr gegenseitig eure Freundes-\ncodes registriert, könnt ihr\ngemeinsam Mario Kart Wii via\nWiiLink WFC spielen.\n\nBesitzt du eine Mario Kart Wii-Disc\nund hast du den Mario Kart-Kanal\ndeinem Wii-Menü hinzugefügt, dann\nkannst du die Option START wählen,\num die Registrierung der\nFreundescodes zu bestätigen.\n\nViel Spaß!


2800  = Zeitfahren (150cc)
2801  = Zeitfahren (200cc)
2803  = Geisterspeicherung deaktiviert.
2804  = Geisterspeicherung deaktiviert. Dolphin Cheats aktiviert.
2810  = Kursfolge: Normal
2811  = Kursfolge: Alphabetisch
2A00  = Einstellungen
2A01  = Rennen  
2A02  = Menü  
2A07  = Host (2/2)
2A04  = Host (1/2)
2A05  = Versus (1/2)
2A06  = Versus (2/2)
2A08  = Barrierefreiheit 
2A20  = Verwalte deine Einstellungen!
2A21  = Verwalten Sie Ihre Renneinstellungen!
2A22  = Verwalten Sie Ihre Menü-Einstellungen!
2A27  = Verwalten Sie Ihre Raumeinstellungen!
2A24  = Verwalten Sie Ihre Raumeinstellungen!
2A26  = Verwalten Sie Ihre Versus-Einstellungen!
2A25  = Verwalten Sie Ihre Versus-Einstellungen!
2A28  = Verwalten Sie ihre Barrierefreiheitseinstellungen!
37000  = Aktiviert
37001  = Deaktiviert
30000  = Musik der Letzte Runde
30001  = Beschleunigung
30002  = Keine Unterbrechung
30003  = Standard
40001  = Die Musik wird beim Eintritt in die letzte Runde über 4s beschleunigt.
40002  = Die Musik wird beim Eintritt in die letzte Runde fortgesetzt.
40003  = Die Musik wird wie üblich auf die schnelle Variante umgestellt.
30010  = Ziehbare Stachi-Panzer
40011  = Sie können Stachi-Panzer wie andere Muscheln hinten halten.
40012  = Sie können Stachi-Panzer nicht wie andere Muscheln zurückhalten.
30020  = Mii-Köpfe
40021  = Die Miis der Spieler werden auf der Minimap angezeigt.
40022  = Der Fahrer der Spieler werden auf der Minimap angezeigt.
30030  = Tachometer
30031  = Deaktiviert
30032  = Keine Dezimalen
30033  = 1 Dezimale
30034  = 2 Dezimalen
40031  = Der Tachometer wird deaktiviert.
40032  = Der Tachometer zeigt keine Dezimalstellen an.
40033  = Der Tachometer zeigt 1 Dezimalstelle an.
40034  = Der Tachometer zeigt 2 Dezimalstellen an.
30040  = FPS-Modus
30041  = Normal
30042  = Erzwingen 30FPS
30043  = Erzwingen 60FPS
40041  = Verwenden Sie den Standard-FPS-Modus.
40042  = Wird verwendet, wenn das Spiel zu langsam ist.
40043  = Verwendung für bessere Systeme (nur Dolphin).
30050  = Geisterspeichern
40051  = Das Geisterspeichern wird aktiviert.
40052  = Das Geisterspeichern wird deaktiviert.
30110  = Schnell-Menüs
40111  = Die Menüübergänge sind unmittelbar.
40112  = Die Menüübergänge sind normal.
30100  = Sprache
30120  = Kursfolge
30121  = Normal
30122  = Alphabetisch
30300  = OpenHost
40301  = Spieler, die Sie hinzugefügt haben, können Räumen beitreten.
40302  = Nur Spieler, mit denen Sie befreundet sind, können teilnehmen.
30310  = Gastgeber gewinnt immer
40311  = Nur die Auswahl des Gastgebers ist wichtig.
40312  = Der Kurs wird wie üblich ausgewählt.
30320  = Mii-Köpfe zulassen
40321  = Die Spieler können die Einstellungen für Mii-Köpfe verwenden.
40322  = Mii-Köpfe werden abgeschaltet.
30330  = CCM erzwingen
30331  = Keine
30332  = 150ccm
30333  = 200ccm
30334  = Spiegel (150ccm)
30340  = Rennen zählen
30510  = Variantenauswahl
40511  = Spieler dürfen für eine bestimmte Version einer Strecke wählen.
40512  = Spieler dürfen nicht für eine bestimmte Version einer Strecke wählen.
30520  = Mega Wolke
40521  = Der Wolkenblitz wird Spieler groß machen.
40522  = Der Wolkenblitz wird wie gewohnt Spieler schrumpfen.
30530  = Alle Items können landen
40531  = Jede Art von Item können auf dem Boden landen.
40532  = Nur manche Items können auf dem Boden landen.
30630  = Zufällig erzwingen
30631  = Deaktiviert
30632  = Individuel
30633  = Häufig
40631  = Spieler dürfen wie gewöhnlich ihre Fahrzeuge auswählen.
40632  = Jeder Spieler würfelt vor dem Rennen seine eigene Zufallskombination.
40633  = Alle Spieler bekommen dieselbe zufällige Kombo vor dem Rennen.
30700  = Vereinfachte Steuerung
30701  = Deaktiviert
30702  = Nur hoch
30703  = Richtung
40701  = Vereinfachte Steuerung wird Deaktiviert.
40702  = Durch drücken von Y/ZL wird der hoch-Trick Effekt gewährt.
40703  = Durch Drücken von Y/ZL wird der Trickeffekt je nach Joystickrichtung gewährt.
30710  = Sichtfeld Effekte
30720  = Kamera-Schütteln
30730  = Blühen
30711  = Aktiviert
30712  = Reduziert
30713  = Deaktiviert
2820  = Fahre allein und stelle Bestzeiten auf! (200ccm)
beb  = Fahre allein und stelle Bestzeiten auf! (150ccm)
2830  = Combo ändern
2831  = Wählen oder Zufällig?
2840  = Einige Änderungen erfordern einen Neustart
284C  = Sind Sie sicher, dass Sie aufhören möchten?\n\nDas Verlassen eines laufenden Rennens führt zu einer VR-Strafe.
2841  = Dolphin Cheats sind aktiviert!\nDas Spiel funktioniert möglicherweise nicht wie erwartet.
2842  = Dolphin erweiterter Speicher aktiviert!\nDas Spiel funktioniert möglicherweise nicht wie erwartet.
30500  = Streckenauswahl
30501  = Alle
30502  = Retros
30503  = Custom Strecken
2806  = Aurora erfordert Dolphin 5.0-17856 oder neuer.\nBitte laden Sie es von der offiziellen Website herunter.\n\nZurück zum Wii-Menü...
2843  = Anscheinend verwenden Sie die standardmäßige Dolphin-Konfiguration.\nBitte importieren Sie das NAND Ihrer Wii, um darauf zuzugreifen \nalle Aurora-Funktionen.
2844  = Anscheinend verwenden Sie den öffentlichen NAND-Dump.\nBitte importieren Sie das NAND Ihrer Wii, um darauf zuzugreifen \nalle Aurora-Funktionen.
2845  = Verifiziert mit dem Server...
2846  = Beim Herstellen der Verbindung zum Server ist ein Fehler aufgetreten.\n\nFehlercode: \z{802,200000}\z{a02,1000000000}
2847  = Beim Herstellen der Verbindung zum Server ist ein Fehler aufgetreten.\n\nFehlercode: \z{802,200000}\z{a02,1000000000}\nZurück zum Wii-Menü...
2848  = Neues Update ist verfügbar! \z{802,200000}\nLaden Sie die neue Version aus der Wikii herunter!
2805  = Möchten Sie den Geist in Bestenlisten hochladen?
2849  = Geistdaten erfolgreich hochgeladen!
284A  = 
284B  = \z{a02,1000000000}\z{800,46}\nAktive Spieler
2802  = Zeit ungültig gemacht. Delta zu groß.
30130  = Menü Thema
30131  = Aurora
30132  = Regenbogen
30133  = Weiß
1E40  = \z{800, 90}Lichtempfindlichkeitswarnung\n\n\z{800, 50}Bei manchen Menschen können Anfälle oder Ohnmachtsanfälle ausgelöst werden\ndurch blinkende Lichter oder Muster. Dies kann auch dann passieren, wenn \nSie hatten noch nie einen Anfall.\n\nHören Sie sofort auf und wenden Sie sich an einen Arzt\nwenn bei Ihnen Symptome auftreten.
2807  = Grand Prix
2808  = Online
2809  = Demnächst
848  = Fortschritt
2081A  = Lizenz Fortschritt
2081B  = Sehen Sie sich den Fortschritt Ihrer Lizenzklasse an!
20820  = Punkte
20822  = Cups
20823  = Durchschn. Rang
20824  = VR
20826  = Fahrer
20827  = Punktzahl
