7dd  = WiiLink WFC
26af  = Kontroler nie może zostać zmieniony w czasie trwania meczu na WiiLink WFC. Proszę przywrócić oryginalny kontroler.
212c  = Otrzymałeś/aś zaprosznie do Znajomych\nod %ls!\n\nMario Kart Wii\nKod Przyjaciela: %04d-%04d-%04d\n\nPoprzez zarejestrowanie waszych Kodów Przyjaciela, będziecie mogli grać razem poprzez WiiLink .\nJeżeli masz Mario Kart Wii and dodałeś Kanał Mario Kart do swojego Menu Wii, możesz wybrać przycisk Start po prawej aby zatwiedzić.\n\nBawcie się dobrze!


2800  = Czasówka (150cc)
2801  = Czasówka (200cc)
2803  = Zapis duchów wyłączony.
2804  = Zapis duchów wyłączony. Cheaty włączone.
2810  = Układ tras: Normalny
2811  = Układ tras: Alfabetyczny
2A00  = Ustawienia
2A01  = Wyścig  
2A02  = Menu  
2A07  = Host (2/2)
2A04  = Host (1/2)
2A05  = VS (1/2)
2A06  = VS (2/2)
2A08  = Dostępność 
2A20  = Zarządzaj swoimi ustawieniami!
2A21  = Zarządzaj swoimi ustawienia w Wyścigu!
2A22  = Zarządzaj swoimi ustawianiami w Menu!
2A27  = Zarządzaj swoimi ustawieniami w Pokoju!
2A24  = Zarządzaj swoimi ustawieniami w Pokoju!
2A26  = Zarządzaj swoimi ustawieniami VS!
2A25  = Zarządzaj swoimi ustawieniami VS!
2A28  = Zarządzaj swoimi ustawieniami Dostępności!
37000  = Włączone
37001  = Wyłączone
30000  = Muzyka na ostatnim kółku
30001  = Przyspiesz
30002  = Nie przerywaj
30003  = Domyślnie
40001  = Muzyka będzie przyspieszać przez 4 sekundy na ostatnim kółku.
40002  = Muzyka nie zatrzyma się na ostatnim kółku.
40003  = Muzyka zmieni się na szybki wariant jak normalnie.
30010  = Trzymanie Niebieskiej Muszli
40011  = Możesz trzymać Niebieską Muszlę jak pozostałe.
40012  = Niebieska muszla nie będzie mogła być trzymana jak pozostałe.
30020  = Głowy Mii
40021  = Głowy Mii graczy będą wyświetlane na minimapie
40022  = Postacie graczy będą wyświetlane na minimapie
30030  = Prędkościomierz
30031  = Wyłączony
30032  = Całkowite
30033  = 1 cyfra po przecinku
30034  = 2 cyfry po przecinku
40031  = Prędkościomierz nie będzie wyswietlany
40032  = Prędkościomierz nie będzie wyświelał cyfr po przecinku
40033  = Prędkościomierz będzie wyświetlał 1 cyfrę po przecinku
40034  = Prędkościomierz będzie wyświetlał 2 cyfry po przecinku
30040  = Tryb FPS
30041  = Normalny
30042  = Wymuś 30FPS
30043  = Wymuś 60FPS
40041  = Korzystaj z normalnego trybu FPS.
40042  = Użyj jeżeli gra zbyt klatkuje.
40043  = Użyj tylko dla lepszy sprzętów (Tylko Dolphin).
30050  = Zapisywanie duchów
40051  = Zapisywanie duchów będzie włączone.
40052  = Zapisywanie duchów będzie wyłączone.
30110  = Szybkie Menu
40111  = Przejścia między menu będą natychmiastowe.
40112  = Przejścia między menu będą jak normalnie.
30100  = Język
30120  = Układ tras
30121  = Zwykły
30122  = Alfabetyczny
30300  = OpenHost
40301  = Gracze, który Cię dodali mogą dołączać do pokoju.
40302  = Tylko graczy, z którymi jesteście znajomymi mogą dołączyć.
30310  = Host Zawsze Wygrywa
40311  = Tylko głos hosta będzie miał znaczenie.
40312  = Trasa będzie wybierana jak normalnie.
30320  = Pozwól na Głowy Mii.
40321  = Gracze mogą używać Głów Mii.
40322  = Głowy Mii będą przymusowo wyłączone.
30330  = Wymuś CC
30331  = Żadne
30332  = 150cc
30333  = 200cc
30334  = Lustro (150cc)
30340  = Liczba Wyścigów
30510  = Wybór Wariantu
40511  = Gracze będą mogli wybrać wersję trasy podczas głosowania.
40512  = Gracze nie będą mogli wybrać wersję trasy podczas głosowania.
30520  = Mega Chmura
40521  = Chmura Grzmotu będzie wzmocni Cię.
40522  = Chmura Grzmotu będzie działać jak normalnie.
30530  = Lądowanie wszystkich przedmiotów
40531  = Każdy przedmiot będzie mógł wylądować.
40532  = Tylko niektóre przedmioty będą mogły wylądować
30630  = Wymuś losowe
30631  = Wyłączone
30632  = Indywidualnie
30633  = Wspólnie
40631  = Gracze będą mogli wybrać pojazd jak zwykle.
40632  = Każdy gracz dostanie własny, losowy pojazd przed wyścigiem.
40633  = Wszyscy gracze dostaną taki sam losowy pojazd przed wyścigiem.
30700  = Ułatwione Sterowanie
30701  = Wyłączone
30702  = W górę
30703  = Kierunkowo
40701  = Ułatwione sterowanie będzie wyłączone
40702  = Naciśnięcie Y/ZL wykona sztuczkę w górę.
40703  = Naciśnięcie Y/ZL wykona sztuczkę w kierunku joysticka.
30710  = Efekty FOV
30720  = Trząs Kamery
30730  = Bloom
30711  = Włączone
30712  = Zredukowane
30713  = Wyłączone
2820  = Pojedynczy wyścig o jak naljepszy czas! (200cc)
beb  = Pojedynczy wyścig o jak naljepszy czas! (150cc)
2830  = Zmień Kombo
2831  = Chcesz wybrać czy losowo?
2840  = Niektóre zmiany wymagają restartu.
284C  = Czy napewno chcesz wyjść?\n\nWyjście z trwającego wyścigu spowoduje utratę VR.
2841  = Cheaty w Dolphinie włączone!\nGra może nie funkcjonować jak powinna.
2842  = Pamięć w Dolphinie zwiększona!\nGra może nie funkcjonować jak powinna.
30500  = Wybór Tras
30501  = Wszystkie
30502  = Retro
30503  = CT
2806  = Aurora wymaga Dolphin 5.0-17856 lub nowszego.\nProszę pobrać z oficjalnej strony.\n\nPowrót do Menu Wii...
2843  = Wygląda na to, że używasz podstawowej konfiguracji Dolphin'a.\nProszę, zimportuj NAND z twojej konsoli Wii aby uzyskać\ndostęp do wszystkich funkcji Aurory.
2844  = Wygląda na to, że używasz publicznego NAND'u.\nProszę, zimportuj NAND z twojej konsoli Wii aby uzyskać\ndostęp do wszystkich funkcji Aurory.
2845  = Weryfikacja z serwerem...
2846  = Podczas komunikacji z serwerem wystąpił błąd.\n\nKod Błędu: \z{802,200000}\z{a02,1000000000}
2847  = Podczas komunikacji z serwerem wystąpił błąd.\n\nKod Błędu: \z{802,200000}\z{a02,1000000000}\nPowrót do Menu Wii...
2848  = Nowa aktualizacja jest dostępna! \z{802,200000}\nPobierz najnowszą wersje z Wiiki!
2805  = Czy chcielibyście wrzucić ducha\ndo rankingów?
2849  = Duch pomyślnie wysłany!
284A  = Podczas wysyłania ducha pojawił się błąd.\n\nKod Błędu: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nAktywni Gracze
2802  = Czas unieważniony. Delta zbyt wielka.
30130  = Motyw Menu
30131  = Aurora
30132  = Tęcza
30133  = Biały
1E40  = {{null}}
2807  = Grand Prix
2808  = Online
2809  = Wkrótce!
848  = Postęp
2081A  = Postęp Licencji
2081B  = Zobacz swój progres licencji!
20820  = Punkty
20822  = Puchar
20823  = Śr.Rank
20824  = VR
20826  = Wyścigi
20827  = Wynik
