7dd  = CWF de WiiLink
30000  = Múçica d'úrtima buerta
30001  = Açelerâh
30002  = Çin corte
30003  = Por defêtto
40001  = La múçica ç'açelerará por 4 çegundô al entrâh en la úrtima buerta.
40002  = La múçica continuará al entrâh en la úrtima buerta.
40003  = La múçica cambiará a çu bariante rápida de manera normâh.
30010  = Caparaçón de pinxô arrâttrable
40011  = Podrâh equipâh caparaçonê de pinxô por detrâh como el rêtto de caparaçonê.
40012  = No podrâh equipâh caparaçonê de pinxô por detrâh como el rêtto de caparaçonê.
30020  = Cabeçâ de Mii
40021  = Lô Miî de lô hugadorê çe môttrarán en er minimapa.
40022  = Lô perçonahê de lô hugadorê çe môttrarán en er minimapa.
30030  = Beloçímetro
30031  = Deçâttibao
30032  = Çin deçimalê
30033  = 1 deçimâh
30034  = 2 deçimalê
40031  = Er beloçímetro êttará deçâttibao.
40032  = Er beloçímetro no môttrará deçimalê.
40033  = Er beloçímetro môttrará 1 deçimâh.
40034  = Er beloçímetro môttrará 2 deçimalê.
30040  = Modo FPS
30041  = Normâh
30042  = Forçâh 30 FPS
30043  = Forçâh 60 FPS
40041  = Uçâh er modo FPS por defêtto.
40042  = Uçâh cuando er huego çe ralentiçe demaçiao.
40043  = Uçâh en çîttemâ mehorê (çolo Dolphin).
30050  = Guardao de corredorê fantâmma
40051  = Er guardao de corredorê fantâmma êttará âttibao.
40052  = Er guardao de corredorê fantâmma êttará deçâttibao.
30110  = Menûh rápidô
40111  = Lâ trançiçionê entre menûh çerán îttantáneâ.
40112  = Lâ trançiçionê entre menûh çerán normalê.
30100  = Idioma
30120  = Orden de pîttâ
30121  = Normâh
30122  = Arfabético
30300  = OpenHost
40301  = Lô hugadorê que te agregen podrán unirçe a tû çalâ.
40302  = Çolo lô hugadorê qu'ayâ agregao podrán unirçe a tû çalâ.
30310  = El anfitrión çiempre elihe
40311  = Çolo importará er boto del anfitrión.
40312  = La pîtta ç'elehirá de manera normâh.
30320  = Permitîh cabeçâ de Mii
40321  = Lô hugadorê pueden uçâh çu propia configuraçión de cabeçâ de Mii.
40322  = Lâ cabeçâ de Mii êttarán çiempre deçâttibâh.
30330  = Forçâh CC
30331  = Ninguno
30332  = 150cc
30333  = 200cc
30334  = Êppeho (150cc)
30340  = Número de carrerâ
30510  = Çelêççión de bariante
40511  = Lô hugadorê podran botâh una berçión êppeçifica d'una pîtta.
40512  = Lô hugadorê no podran botâh una berçión êppeçifica d'una pîtta.
30520  = Mega Nube
40521  = El Rayo Intra Nube buerbe higante a lô hugadorê.
40522  = El Rayo Intra Nube encohe a lô hugadorê de manera normâh.
30530  = Tôh lô ôhhetô pueden recoherçe
40531  = Cuarquiêh ôhheto puede caêh en er çuelo.
40532  = Çolo argunô ôhhetô pueden caêh en er çuelo.
30630  = Forçâh aleatorio
30631  = Deçâttibao
30632  = Indibiduâh
30633  = Común
40631  = Lô hugadorê podrán elehîh beículo de manera normâh.
40632  = Er beículo de cá hugadôh çerá elehío de manera aleatoria antê de lâ carrerâ.
40633  = Un beículo aleatorio çerá elehío pa tôh lô hugadorê antê de lâ carrerâ.
30700  = Contrôh çimplificao
30701  = Deçâttibao
30702  = Çolo arriba
30703  = Dirêççionâh
40701  = Er contrôh çimplificao êttará deçâttibao.
40702  = Ar purçâh Y/ZL ç'âttibará el efêtto de pirueta arriba.
40703  = Ar purçâh Y/ZL ç'âttibará el efêtto de pirueta dependiendo de la dirêççión de la palanca de contrôh.
30710  = Efêttô de campo de biçión
30720  = Mobimiento de cámara
30730  = Rêpplandôh
30711  = Âttibao
30712  = Reduçío
30713  = Deçâttibao
2820  = ¡Êttableçe una nueba plûmmarca en çolitario! (200cc)
beb  = ¡Êttableçe una nueba plûmmarca en çolitario! (150cc)
2830  = Cambiâh combinaçión
2831  = ¿Elehîh o aleatorio?
2840  = Argunô cambiô requieren un reiniçio.
284C  = ¿Çeguro que quierê çalîh?\n\nÇi abandonâ una carrera en proçeço,\nreçibirâh una penaliçaçión de Ptô. carrerâ.
2841  = ¡Códigô de Dolphin âttibáô!\nEr huego podría no funçionâh corrêttamente.
2842  = ¡Memoria êttendida de Dolphin âttibá!\nEr huego podría no funçionâh corrêttamente.
30500  = Çelêççión de pîttâ
30501  = Toâ
30502  = Retrô
30503  = Pîttâ Perçonaliçâh
2806  = Aurora requiere la berçión 5.0-17856\no çuperiôh de Dolphin. Dêccárgala\ndêdde la páhina ofiçiâh.\n\nBorbiendo ar Menú de Wii...
2843  = Pareçe qu'êttâh uçando la configuraçión\npredeterminá de Dolphin.\nImporta la NAND de tu Wii pa\nâççedêh a toâ lâ funçionê d'Aurora.
2844  = Pareçe qu'êttâh uçando arxibô\nde NAND públicô. Importa la NAND\nde tu Wii pa âççedêh a toâ lâ\nfunçionê d'Aurora.
2845  = Berificando con er çerbidôh...
2846  = Ç'a produçío un errôh ar\nconêttarçe con er çerbidôh.\n\nCódigo d'errôh: \z{802,200000}\z{a02,1000000000}
2847  = Ç'a produçío un errôh ar\nconêttarçe con er çerbidôh.\n\nCódigo d'errôh: \z{802,200000}\z{a02,1000000000}\nBorbiendo ar Menú de Wii...
2848  = ¡Nueba âttualiçaçión dîpponible! \z{802,200000}\n¡Dêccarga la nueba berçión en er Wiiki!
2805  = ¿Quierê çubîh er corredôh\nfantâmma a lâ claçificaçionê?
2849  = ¡Ç'a çubío er corredôh\nfantâmma corrêttamente!
284A  = Ç'a produçío un errôh ar\nçubîh er corredôh fantâmma.\n\nCódigo d'errôh: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\nHugadorê âttibô
2802  = Tiempo imbálido. Balôh derta mu grande.
30130  = Tema der menú
30131  = Aurora
30132  = Arcoírî
30133  = Blanco
1E40  = {{null}}
2807  = Grand Prix
2808  = Online
2809  = 
848  = 
2081A  = 
2081B  = 
20820  = 
20822  = 
20823  = 
20824  = 
20826  = 
20827  = 
